Equipment Code,Area,Equipment,Criticality
120-BN-01,120.0,ROM BIN GRIZZLY,Critical 1
120-HO-01,120.0,CRUSHING AREA HOIST,Critical 3
120-AF-01,120.0,APRON FEEDER,Critical 1
120-CS-01,120.0,JAW CRUSHER,Critical 1
120-BN-02,120.0,EMERGENCY RECLAIM FEED BIN,Critical 2
120-BF-01,120.0,EMERGENCY BELT FEEDER,Critical 2
120-CH-01,120.0,PRIMARY CRUSHER FEED CHUTE,Critical 1
120-CH-02,120.0,APPRON FEEDER UNDERSIZE CHUTE,Critical 1
120-CH-03,120.0,CRUSHED ORE CONVEYOR FEED CHUTE,Critical 1
120-CH-04,120.0,DIVERTER GATE FEED CHUTE,Critical 1
120-CH-05,120.0,EMERGENCY STOCKPILE FEED CHUTE,Critical 2
120-CH-06,120.0,MILL FEED CONVEYOR FEED CHUTE FROM EMERGENCY STOCKPILE,Critical 2
120-PP-01,120.0,CRUSHING AREA SUMP PUMP,Critical 3
120-PP-02,120.0,TRANSFER TOWER SUMP PUMP,Critical 3
120-CV-01,120.0,CRUSHED ORE CONVEYOR,Critical 1
120-MS-01,120.0,MAGNET SEPARATOR,Critical 2
120-DVC-01,120.0,DIVERTER CHUTE,Critical 2
120-CV-02,120.0,MILL FEED CONVEYOR,Critical 1
120-MD-01,120.0,CRUSHED ORE METAL DETECTOR,Non Critical
120-WT-01,120.0,CRUSHED ORE WEIGHTOMETER,Critical 1
120-MD-02,120.0,MILL FEED METAL DETECTOR,Non Critical
120-CV-03,120.0,EMERGENCY STOCKPILE CONVEYOR,Critical 1
120-WT-02,120.0,MILL FEED WEIGHTOMETER,Critical 1
120-SH-01,120.0,SAFETY SHOWER & EYEWASH FOR CRUSHING AREA,Non Critical
130-ML-01,130.0,SAG MILL,Critical 1
130-HO-01,130.0,SAG MILL BALL KIBBLE HOIST,Critical 3
130-SC-01,130.0,VIBRATING SCREEN,Critical 1
130-KB-01,130.0,KIBBLE BALL BUCKET FOR SAG MILL,Non Critical
130-FED-01,130.0,BALL FEEDER FOR SAG MILL,Critical 2
130-CV-01,130.0,VIBRATING SCREEN OVERSIZE CONVEYOR,Critical 1
130-WT-01,130.0,VIBRATING SCREEN OVERSIZE WEIGHTOMETER,Critical 3
130-CH-01,130.0,SAG MILL FEED CHUTE,Critical 1
