Item No,Tag No,Service,Location,Line Number,P&ID,Instrument Type,Reference Drawing,IO Type,Manufacturer,Model No,Set Value,Range,Calibration Range,Unit,Rev,Remarks,Source Category,Area,Normalized Tag,Derived Equipment Code,Suggested Parameter,Engineering Category
1,LIT120BN01A,ROM Bin Level Sensor,Field,,1001-120-PRO-DWG-JIP-100(1/2),"Level Transmitter, Radar",1001-000-ICS-DWG-JIP-025(9/24),AI,Siemens/E+H,VTA,TBD,VTA,0~9300,mm,1.0,,INSTRUMENT LIST,120,LIT120BN01A,120-BN-01,Level,Condition / Measurement
2,XI120BN01A,ROM Bin Traffic Light,Field,,1001-120-PRO-DWG-JIP-100(1/2),Traffic Light,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XI120BN01A,120-BN-01,,Indication / Alarm
3,XI120BN01B,Rom Bin Traffic Light,Field,,1001-120-PRO-DWG-JIP-100(1/2),Traffic Light,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XI120BN01B,120-BN-01,,Indication / Alarm
4,HS120AF01A,Apron Feeder (120-AF-01)Pullwire Switch-Left,Field,,1001-120-PRO-DWG-JIP-100(1/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,TEAM WORK IN CHINA,VTA,,,,,1.0,,INSTRUMENT LIST,120,HS120AF01A,120-AF-01,,Protection / Interlock
5,HS120AF01B,Apron Feeder  (120-AF-01)Pullwire Switch-Right,Field,,1001-120-PRO-DWG-JIP-100(1/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,TEAM WORK IN CHINA,VTA,,,,,1.0,,INSTRUMENT LIST,120,HS120AF01B,120-AF-01,,Protection / Interlock
6,SSL120AF01,Apron Feeder  (120-AF-01)Underspeed Sensor,Field,,1001-120-PRO-DWG-JIP-100(1/2),Underspeed Switch,1001-000-ICS-DWG-JIP-025(13/24),DI,TEAM WORK IN CHINA,VTA,TBD,1-9999,1-9999,r/min,1.0,,INSTRUMENT LIST,120,SSL120AF01,120-AF-01,Speed,Protection / Interlock
7,XA120AF01,Apron Feeder (120-AF-01) Startup Warning Siren/Beacon,Field,,1001-120-PRO-DWG-JIP-100(1/2),Siren/Beacon,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XA120AF01,120-AF-01,,Indication / Alarm
8,LSH120CH01,Apron Feeder  (120-AF-01)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(1/2),Blocked Chute Switch,,DI,TEAM WORK IN CHINA,VTA,,,,,1.0,,INSTRUMENT LIST,120,LSH120CH01,120-AF-01,,Protection / Interlock
9,IAH120CS01,Crusher (120-CS-01) Current Transmitter,Field,,1001-120-PRO-DWG-JIP-100(1/2),,Electrical Diagram of MCC,AI,,,TBD,VTA,VTA,A,1.0,Soft start output,INSTRUMENT LIST,120,IAH120CS01,120-CS-01,Current,Condition / Measurement
10,HS120CV01A,Conveyor Belt(120-CV-01)Pullwire Switch-Left,Field,,1001-120-PRO-DWG-JIP-100(1/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV01A,120-CV-01,,Protection / Interlock
11,HS120CV01B,Conveyor Belt(120-CV-01)Pullwire Switch-Right,Field,,1001-120-PRO-DWG-JIP-100(1/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV01B,120-CV-01,,Protection / Interlock
12,SSL120CV01,Conveyor Belt(120-CV-01)Underspeed Sensor,Field,,1001-120-PRO-DWG-JIP-100(1/2),Underspeed Switch,1001-000-ICS-DWG-JIP-025(13/24),DI,Vendor To Advise,VTA,TBD,VTA,VTA,r/min,1.0,Vendor supply,INSTRUMENT LIST,120,SSL120CV01,120-CV-01,Speed,Protection / Interlock
13,XA120CV01,Conveyor Belt(120-CV-01) Startup Warning Siren/Beacon,Field,,1001-120-PRO-DWG-JIP-100(1/2),Siren/Beacon,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XA120CV01,120-CV-01,,Indication / Alarm
14,LSH120CH04,Conveyor B elt (120-CV-01)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(1/2),Blocked Chute Switch,,DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,LSH120CH04,120-CV-01,,Protection / Interlock
15,ZS120CV01AA,Conveyor Belt(120-CV-01)Drift Switch-Tail Left,Field,,1001-120-PRO-DWG-JIP-100(1/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01AA,120-CV-01,,Protection / Interlock
16,ZS120CV01AB,Conveyor Belt(120-CV-01)Drift Switch-Tail Right,Field,,1001-120-PRO-DWG-JIP-100(1/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01AB,120-CV-01,,Protection / Interlock
17,ZS120CV01BA,Conveyor Belt(120-CV-01)Drift Switch-Head Left,Field,,1001-120-PRO-DWG-JIP-100(1/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01BA,120-CV-01,,Protection / Interlock
18,ZS120CV01BB,Conveyor Belt(120-CV-01)Drift Switch-Head Right,Field,,1001-120-PRO-DWG-JIP-100(1/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01BB,120-CV-01,,Protection / Interlock
19,ZS120CV01CA,Conveyor Belt(120-CV-01) take-up limit upper,Field,,1001-120-PRO-DWG-JIP-100(1/2),Take-up Switch,,DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01CA,120-CV-01,,Protection / Interlock
20,ZS120CV01CB,Conveyor Belt(120-CV-01) take-up limit lower,Field,,1001-120-PRO-DWG-JIP-100(1/2),Take-up Switch,,DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01CB,120-CV-01,,Protection / Interlock
21,ZS120CV01,Conveyor Belt(120-CV-01) Belt rip Switch,Field,,1001-120-PRO-DWG-JIP-100(1/2),Belt Rip Switch,1001-000-ICS-DWG-JIP-025(12/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV01,120-CV-01,,Protection / Interlock
22,AH120MD01,Metal Detector (120-MD-01) on the Conveyor Belt(120-CV-01),Field,,1001-120-PRO-DWG-JIP-100(1/2),Metal Detector,Belong to Machine,DI,VTA,VTA,,,,,1.0,Machine Supply,INSTRUMENT LIST,120,AH120MD01,120-MD-01,,Condition / Measurement
23,WIT120WT01,Weightometer on the Conveyor Belt(120-CV-01),Field,,1001-120-PRO-DWG-JIP-100(1/2),Weightometer,,AI,,,TBD,VTA,VTA,t/h,1.0,Process Supply,INSTRUMENT LIST,120,WIT120WT01,120-CV-01,,Condition / Measurement
24,LS120PP01,Sump(120-PP-01) Level Swith,Field,,1001-120-PRO-DWG-JIP-100(1/2),Float Switch,1001-000-ICS-DWG-JIP-025(15/24),,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,LS120PP01,120-PP-01,,Protection / Interlock
25,LSH120DVC01A,Diverter Chute(120-DVC-01)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(2/2),Blocked Chute Switch,,DI,TEAM WORK IN CHINA,VTA,,,,,1.0,,INSTRUMENT LIST,120,LSH120DVC01A,120-DVC-01,,Protection / Interlock
26,LSH120DVC01B,Diverter Chute(120-DVC-01)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(2/2),Blocked Chute Switch,,DI,TEAM WORK IN CHINA,VTA,,,,,1.0,,INSTRUMENT LIST,120,LSH120DVC01B,120-DVC-01,,Protection / Interlock
27,HS120CV03A,Conveyor Belt(120-CV-03)Pullwire Switch-Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV03A,120-CV-03,,Protection / Interlock
28,HS120CV03B,Conveyor Belt(120-CV-03)Pullwire Switch-Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV03B,120-CV-03,,Protection / Interlock
29,SSL120CV03,Conveyor Belt(120-CV-03)Underspeed Sensor,Field,,1001-120-PRO-DWG-JIP-100(2/2),Underspeed Switch,1001-000-ICS-DWG-JIP-025(13/24),DI,Vendor To Advise,VTA,TBD,VTA,VTA,r/min,1.0,Vendor supply,INSTRUMENT LIST,120,SSL120CV03,120-CV-03,Speed,Protection / Interlock
30,XA120CV03,Conveyor Belt(120-CV-03) Startup Warning Siren/Beacon,Field,,1001-120-PRO-DWG-JIP-100(2/2),Siren/Beacon,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XA120CV03,120-CV-03,,Indication / Alarm
31,LSH120CH05,Conveyor B elt (120-CV-03)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(2/2),Blocked Chute Switch,,DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,LSH120CH05,120-CV-03,,Protection / Interlock
32,ZS120CV03AA,Conveyor Belt(120-CV-03)Drift Switch-Tail Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03AA,120-CV-03,,Protection / Interlock
33,ZS120CV03AB,Conveyor Belt(120-CV-03)Drift Switch-Tail Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03AB,120-CV-03,,Protection / Interlock
34,ZS120CV03BA,Conveyor Belt(120-CV-03)Drift Switch-Head Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03BA,120-CV-03,,Protection / Interlock
35,ZS120CV03BB,Conveyor Belt(120-CV-03)Drift Switch-Head Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03BB,120-CV-03,,Protection / Interlock
36,ZS120CV03CA,Conveyor Belt(120-CV-03) take-up limit upper,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03CA,120-CV-03,,Protection / Interlock
37,ZS120CV03CB,Conveyor Belt(120-CV-03) take-up limit lower,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03CB,120-CV-03,,Protection / Interlock
38,ZS120CV03,Conveyor Belt(120-CV-03)Belt Rip Switch,Field,,1001-120-PRO-DWG-JIP-100(2/2),Belt Rip Switch,1001-000-ICS-DWG-JIP-025(12/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV03,120-CV-03,,Protection / Interlock
39,HS120CV02A,Conveyor Belt(120-CV-02)Pullwire Switch-Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV02A,120-CV-02,,Protection / Interlock
40,HS120CV02B,Conveyor Belt(120-CV-02)Pullwire Switch-Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Pullwire Switch,1001-000-ICS-DWG-JIP-025(14/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,HS120CV02B,120-CV-02,,Protection / Interlock
41,SSL120CV02,Conveyor Belt(120-CV-02)Underspeed Sensor,Field,,1001-120-PRO-DWG-JIP-100(2/2),Underspeed Switch,1001-000-ICS-DWG-JIP-025(13/24),DI,Vendor To Advise,VTA,TBD,VTA,VTA,r/min,1.0,Vendor supply,INSTRUMENT LIST,120,SSL120CV02,120-CV-02,Speed,Protection / Interlock
42,XA120CV02,Conveyor Belt(120-CV-02) Startup Warning Siren/Beacon,Field,,1001-120-PRO-DWG-JIP-100(2/2),Siren/Beacon,,DO,TBD,VTA,,,,,1.0,,INSTRUMENT LIST,120,XA120CV02,120-CV-02,,Indication / Alarm
43,LSH130CH01,Conveyor B elt (120-CV-02)Blocked Chute Switch,Field,,1001-120-PRO-DWG-JIP-100(2/2),Blocked Chute Switch,,DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,LSH130CH01,120-CV-02,,Protection / Interlock
44,ZS120CV02AA,Conveyor Belt(120-CV-02)Drift Switch-Tail Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV02AA,120-CV-02,,Protection / Interlock
45,ZS120CV02AB,Conveyor Belt(120-CV-02)Drift Switch-Tail Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV02AB,120-CV-02,,Protection / Interlock
46,ZS120CV02BA,Conveyor Belt(120-CV-02)Drift Switch-Head Left,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV02BA,120-CV-02,,Protection / Interlock
47,ZS120CV02BB,Conveyor Belt(120-CV-02)Drift Switch-Head Right,Field,,1001-120-PRO-DWG-JIP-100(2/2),Drift Switch,1001-000-ICS-DWG-JIP-025(11/24),DI,Vendor To Advise,VTA,,,,,1.0,Vendor supply,INSTRUMENT LIST,120,ZS120CV02BB,120-CV-02,,Protection / Interlock
